,E,S,eta,GESpert_Min,GESpert_FE,GESstandard_Min,GESstandard_FE,LS_Min,LS_FE,nBands
229,0.22899999999999998,Nanoribbon,1e-14,0.058981294000000004,9.969382082551965e-14,0.066801086,9.979076426493801e-14,0.12534665,1.4919039873565534e-11,20.0
230,0.23,Nanoribbon,1e-14,0.05899626400000001,1.0120470850365946e-13,0.066661714,1.006650003107824e-13,0.125824325,7.180811454101871e-11,20.0
231,0.231,Nanoribbon,1e-14,0.059078974000000006,1.0123386150439354e-13,0.066806352,1.0117934720466542e-13,0.126086111,2.7915672993803363e-11,20.0
232,0.23199999999999998,Nanoribbon,1e-14,0.059059825999999996,1.0137155415453776e-13,0.06670382,1.0064800660123401e-13,0.12565226699999998,1.491690214293235e-11,20.0
233,0.233,Nanoribbon,1e-14,0.059282488,9.980037586003483e-14,0.066859017,9.928691793834306e-14,0.125344142,3.596715413917713e-12,20.0
234,0.23399999999999999,Nanoribbon,1e-14,0.059229747,1.0112016667689097e-13,0.066929798,1.0084458576345753e-13,0.125297687,9.971052786605444e-11,20.0
235,0.235,Nanoribbon,1e-14,0.05874322,9.872024945941753e-14,0.066446091,9.935556741696333e-14,0.125853683,4.1558902913958214e-11,20.0
236,0.23600000000000002,Nanoribbon,1e-14,0.059634991,1.0066754035113867e-13,0.067432369,1.0069754942104615e-13,0.132571839,66.79229562849153,20.0
237,0.237,Nanoribbon,1e-14,0.059555857000000004,9.856596650947044e-14,0.067268719,9.816688828777057e-14,0.12388323400000001,6.479100082250903e-11,20.0
238,0.23800000000000002,Nanoribbon,1e-14,0.05936227400000001,9.800693592119873e-14,0.066948015,9.78519193107624e-14,0.125476692,1.273438697587365e-11,20.0
239,0.239,Nanoribbon,1e-14,0.059255351,9.886995628408397e-14,0.066846515,9.931989722661803e-14,0.12589779,1.6660316662719512e-11,20.0
240,0.24,Nanoribbon,1e-14,0.059390387999999995,9.965064246990823e-14,0.067000068,1.0021709661954468e-13,0.133128458,10.771051824057569,20.0
241,0.24100000000000002,Nanoribbon,1e-14,0.058913322000000004,1.0011333887308528e-13,0.066553154,9.962555891764303e-14,0.130837574,10.692455557508923,20.0
242,0.242,Nanoribbon,1e-14,0.059217457,9.980252770277652e-14,0.066826964,9.99831966015914e-14,0.124559565,8.315566856812684e-12,20.0
243,0.243,Nanoribbon,1e-14,0.059396949000000004,9.874549387282184e-14,0.066864229,9.858765110806777e-14,0.125492886,6.846573353699001e-12,20.0
244,0.244,Nanoribbon,1e-14,0.058974512,9.730259415225716e-14,0.066638716,9.716559574924313e-14,0.12385176099999999,1.1843564551570248e-09,20.0
245,0.245,Nanoribbon,1e-14,0.058922774000000004,9.879356695870488e-14,0.066799521,9.863354063157956e-14,0.125594971,5.213982407477352e-12,20.0
246,0.24600000000000002,Nanoribbon,1e-14,0.059189187000000004,9.85536003574024e-14,0.066786977,9.827476063176424e-14,0.125572524,5.585608450004442e-11,20.0
247,0.247,Nanoribbon,1e-14,0.05913235,9.836982781540517e-14,0.066881993,9.813944903002625e-14,0.12431986099999999,1.9293829519772925e-12,20.0
248,0.248,Nanoribbon,1e-14,0.05938748,9.84760062569766e-14,0.066985013,9.795857705082317e-14,0.12506927,6.387039562336999e-12,20.0
249,0.249,Nanoribbon,1e-14,0.059583988,9.822835592206686e-14,0.067125374,9.81543668918647e-14,0.12589845300000002,5.75596326137961e-12,20.0
250,0.25,Nanoribbon,1e-14,0.059194412,9.902313466115004e-14,0.06674189,9.871929071983466e-14,0.125983227,3.3905502270727933e-10,20.0
251,0.251,Nanoribbon,1e-14,0.059160042999999995,1.0005785470396891e-13,0.06671722299999999,9.952029826526023e-14,0.128027187,10.280916935392671,20.0
252,0.252,Nanoribbon,1e-14,0.059216581,9.744106573064483e-14,0.066791147,9.800662444505756e-14,0.125291013,6.436210607389428e-11,20.0
253,0.253,Nanoribbon,1e-14,0.058935052,9.95285343116234e-14,0.066570054,9.971531356714224e-14,0.125037393,4.823269386313515e-11,20.0
254,0.254,Nanoribbon,1e-14,0.058749431,9.755598040212762e-14,0.06636173299999999,9.747820656483352e-14,0.125578078,9.428292202665682e-11,20.0
255,0.255,Nanoribbon,1e-14,0.058573741,9.725041211538707e-14,0.066231204,9.729054313766412e-14,0.125380051,6.07894793799603e-11,20.0
256,0.256,Nanoribbon,1e-14,0.058552289,9.844624700364844e-14,0.066295004,9.824552662760907e-14,0.124129785,3.623281908208241e-10,20.0
257,0.257,Nanoribbon,1e-14,0.05900365900000001,9.570947453616527e-14,0.06668655,9.620945340950934e-14,0.125423414,5.020902613883517e-11,20.0
258,0.258,Nanoribbon,1e-14,0.059177090999999994,9.653302848017484e-14,0.066779061,9.696443650424156e-14,0.125319935,1.4195867707977869e-11,20.0
259,0.259,Nanoribbon,1e-14,0.059166603,9.747291745326693e-14,0.066835416,9.744136609978436e-14,0.12592305199999998,1.669052304710054e-10,20.0
260,0.26,Nanoribbon,1e-14,0.059002757999999995,9.73800532195988e-14,0.066596692,9.722902836913257e-14,0.125451555,9.151713043093047e-12,20.0
